10/6/2013,Mill Valley,Warren Blier,"Contra Sutra [WA](Ryan McKassen, Dave Bartley, Marni Rachmiel Russel S.)"
10/17/2013,San Rafael, Mary Wesley [MA]," Maivish [QC] (Jaige Trudell, Adam Broome)"
10/18/2013,Santa Rosa,Yoyo Zhou," Uncle Farmer (Ben Schreiber, Mike Sokolovsky)"
10/26/2013,Sebastapol,Mike Fynan," Contrazz [NC] (Ann Gilleran, Pat Gilleran, Rob Crummett)"
11/3/2013,Petaluma,Susan Petrick," (Rodney Miller [NH], Owen Marshall [VT])"
11/9/2013,San Rafael,Yoyo Zhou,"Uncle Farmer (Ben Schreiber, Mike Sokolovsky)"
11/15/2013,Santa Rosa,Chuck Galt,"Whimsical (Debra Tayieur, Janette Duncan, Regan Hemphill, Beth Christian, Roxanne Oliva)"
11/21/2013,Mill Valley,George Marshall," Perpetual eMotion [ME] (Ed Howe, John Cotes)"
11/23/2013,Sebastapol,Lea Smith,"The Roadoilers (Mike Drayton, John Pedersen, Perry Fly, Chuck Wiley)"
11/30/2013,Santa Rosa,Lynn Ackerson," (Chris Knepper, Dan Engle)"
12/1/2013,Petaluma,Kelsey Hartman,"StringFire (James MacQueen,Patti Cobb,Erik Ievins)"
12/14/2013,San Rafael,Kelsey Hartman," (Blaine Sprouse, Ray Bierl,Markie Sanders)"
12/20/2013,Santa Rosa,Kristin Seibert [NC]," StringFire (James MacQueen,Patti Cobb,Erik Ievins, Caroline McCaskey)"
12/31/2013,Mill Valley,Susan Petrick,"The Crabapples (Marta Lynch, Bob Silberstein, Norm Cotton, Teresa Fife)"
1/5/2014,Petaluma,Lynn Ackerson,"(Erin Shrader, Richard Mandel)"
1/16/2014,San Rafael,Erik Hoffman," Stringrays (Rodney Miller [NH], Stuart Kenney [MA], Max Newman [MA])"
1/17/2014,Santa Rosa,Lea Smith," (Lee Anne Welch, Rebecca King)"
1/25/2014,Sebastapol,Kelsey Hartman,"Whimsical (Debra Tayieur, Janette Duncan, Regan Hemphill, Beth Christian, Roxanne Oliva)"
2/2/2014,Petaluma,": Jean Gorrindo," Sassafras Stomp [ME] (Johanna Davis, Adam Nordell, Putnam Smith)"
2/7/2014,Mill Valley,Jean Gorrindo," Sassafras Stomp [ME] (Johanna Davis, Adam Nordell, Putnam Smith)"
2/21/2014,Santa Rosa, Kalia Kliban,"  The Caffeinators (Jon Berger , Noel Cragg , Tony Blake)"
2/22/2014,Sebastapol,Celia Ramsay,"The Upside Sound (Julian McClanahan, Brad McClanahan, Darin Smith, Michael Charnes)"
3/2/2014,Petaluma,Lea Smith," The Raggedy Andys (Chris Knepper,Charlie Hancock,Anne Goess)"
3/13/2014,Mill Valley,Kathy Anderson [OH]," Contra Sutra [WA](Ryan McKassen, Dave Bartley, Marni Rachmiel Russel S.)"
3/21/2014,Santa Rosa,Woody Lane [OR]," (Erik Hoffman , Topher Gayle, John Douglas)"
3/22/2014,Sebastapol,Robin Steen," The Roadoilers (Mike Drayton, John Pedersen, Perry Fly)"
3/29/2014,Santa Rosa,Erik Hoffman," (Gus Garelick , Steve deLap)"
4/6/2014,Mill Valley, Lisa Greenleaf and Seth Tepfer," Latter Day Lizards/Blue Ribbon Dance Band (Dave Langford [MA], Peter Barnes, [MA], Bill Tomczak [OR], Stuart Kenney [MA], Rodney Miller [NH], Sam Bartlett [IN], Owen Marshall [ME], Mark Hellenberg [OH])"
4/18/2014,Santa Rosa,Kelsey Hartman,"Fiddle King (Lee Anne Welch, Julie Smolin, Rebecca King)"
4/26/2014,Sebastapol,Ken Olcott,"(Rebecca King, Jon Berger)"
5/16/2014,Santa Rosa,Lynn Ackerson," The wiNgNuts (Chris Knepper, Christie Hubbard, Will Wheeler)"
5/24/2014,Sebastapol,Lea Smith,"Ruby Mt. String Band [NorCal] (Cliff Landis, Darin Smith, Julia Landis)"
5/31/2014,Santa Rosa,Charlie Fenton," (Erin Shrader , Richard Mandel)"
6/1/2014,Petaluma,Susan Pleck," (Chris Knepper,Charlie Hancock ,Christie Hubbard)"
6/22/2014,Santa Rosa,Cis Hinkle [GA]," Notorious (Eden MacAdam-Somer [MA],Larry Unger [MA], Sam Bartlett [IN],Mark Hellenberg [OH])"
